Espai,Any,Assistents
Cinemes Verdi,2019,15000.0
Diversos espais de la ciutat ,2019,7500.0
Jardins del Palau Reial de Pedralbes,2019,71441.0
Plaça de la Vila de Gràcia i Jamboree,2019,4600.0
Diversos espais de la ciutat,2019,2406.0
Diversos espais de la ciutat,2019,1468.0
Moll de la Fusta,2019,23000.0
CCCB,2019,1500.0
Fabra i Coats: Fàbrica de Creació,2019,1562.0
Castell de Montjuïc ,2019,1200.0
Diversos espais de la ciutat,2019,6026.0
Carrer Alfons el Magnànim,2019,3000.0
Diversos espais de la ciutat ,2019,1115.0
Diversos centres cívics de l'Eixample,2019,4719.0
SAT! sant Andreu Teatre,2019,1127.0
Institut français-Barcelone,2019,6350.0
Diversos espais de la ciutat,2019,10386.0
CCCB,2019,4757.0
Fabra i Coats: Fàbrica de Creació,2019,4000.0
Diversos espais de la ciutat,2019,124594.0
Casal de Joves Guineueta,2019,200.0
Diversos espais de la ciutat ,2019,54815.0
Diversos espais de la ciutat,2019,2200.0
Poble Espanyol,2019,16000.0
Centres Cívics de Barcelona i Mercat de les Flors,2019,2160.0
Aribau Multicines,2019,30000.0
Cinemes Girona,2019,200.0
Antic Teatre ,2019,120.0
Fabra i Coats - Fàbrica de Creació,2019,301.0
Fabra i Coats: Fàbrica de Creació,2019,25500.0
Disseny Hub Barcelona,2019,3500.0
CCCB,2019,13340.0
Arts Santa Mònica,2019,4527.0
CCCB,2019,18000.0
Fabra i Coats: Fàbrica de Creació,2019,2836.0
Cinemes Girona,2019,2000.0
Ateneu del Raval i Auditori Meier del MACBA ,2019,780.0
La Pedrera,2019,6650.0
Diversos espais de la ciutat ,2019,2500.0
Palau Güell,2019,345.0
"Fabra i Coats, Fàbrica de Creació",2019,15000.0
Diversos espais del Poblenou,2019,190000.0
Diversos espais de la ciutat,2019,110000.0
Lluïsos de Gràcia i diversos espais de la ciutat,2019,500.0
Església de Sant Pere de les Puel·les,2019,1200.0
Fira de Barcelona,2019,152523.0
