Codi_Barri,Nom_Barri,Any,Superfície (ha)
44,Vilapicina i la Torre Llobeta,2016,56.7
45,Porta,2016,84.1
46,el Turó de la Peira,2016,35.4
47,Can Peguera,2016,12.0
48,la Guineueta,2016,61.1
49,Canyelles,2016,79.3
50,les Roquetes,2016,64.2
51,Verdun,2016,23.7
52,la Prosperitat,2016,59.5
53,la Trinitat Nova,2016,56.0
54,Torre Baró,2016,176.8
55,Ciutat Meridiana,2016,35.5
56,Vallbona,2016,59.8
57,la Trinitat Vella,2016,81.0
58,Baró de Viver,2016,23.0
59,el Bon Pastor,2016,188.2
60,Sant Andreu,2016,184.1
61,la Sagrera,2016,97.2
62,el Congrés i els Indians,2016,40.7
63,Navas,2016,42.3
64,el Camp de l'Arpa del Clot,2016,74.2
65,el Clot,2016,69.6
66,el Parc i la Llacuna del Poblenou,2016,111.4
67,la Vila Olímpica del Poblenou,2016,94.3
68,el Poblenou,2016,154.5
69,Diagonal Mar i el Front Marítim del Poblenou,2016,123.7
70,el Besòs i el Maresme,2016,127.4
71,Provençals del Poblenou,2016,110.5
72,Sant Martí de Provençals,2016,74.5
73,la Verneda i la Pau,2016,112.3
1,el Raval,2015,109.8
2,el Barri Gòtic,2015,84.2
3,la Barceloneta,2015,131.4
4,"Sant Pere, Santa Caterina i la Ribera",2015,111.4
5,el Fort Pienc,2015,92.9
6,la Sagrada Família,2015,105.1
7,la Dreta de l'Eixample,2015,212.3
8,l'Antiga Esquerra de l'Eixample,2015,123.4
9,la Nova Esquerra de l'Eixample,2015,133.8
10,Sant Antoni,2015,80.1
11,el Poble Sec,2015,460.5
12,la Marina del Prat Vermell,2015,1428.4
13,la Marina de Port,2015,125.5
14,la Font de la Guatlla,2015,30.2
15,Hostafrancs,2015,41.0
16,la Bordeta,2015,57.7
17,Sants - Badal,2015,41.1
18,Sants,2015,109.8
19,les Corts,2015,141.3
20,la Maternitat i Sant Ramon,2015,190.3
21,Pedralbes,2015,270.2
22,"Vallvidrera, el Tibidabo i les Planes",2015,1152.4
23,Sarrià,2015,304.2
24,les Tres Torres,2015,78.8
25,Sant Gervasi - la Bonanova,2015,223.5
26,Sant Gervasi - Galvany,2015,165.9
27,el Putxet i el Farró,2015,84.6
28,Vallcarca i els Penitents,2015,120.9
29,el Coll,2015,35.8
30,la Salut,2015,64.3
31,la Vila de Gràcia,2015,132.6
32,el Camp d'en Grassot i Gràcia Nova,2015,65.0
33,el Baix Guinardó,2015,56.0
34,Can Baró,2015,38.4
35,el Guinardó,2015,130.8
36,la Font d'en Fargues,2015,65.7
37,el Carmel,2015,94.2
38,la Teixonera,2015,33.7
39,Sant Genís dels Agudells,2015,171.6
40,Montbau,2015,204.7
41,la Vall d'Hebron,2015,73.6
42,la Clota,2015,17.8
43,Horta,2015,308.2
44,Vilapicina i la Torre Llobeta,2015,56.7
45,Porta,2015,84.1
46,el Turó de la Peira,2015,35.4
47,Can Peguera,2015,12.0
48,la Guineueta,2015,61.1
49,Canyelles,2015,79.3
50,les Roquetes,2015,64.2
51,Verdun,2015,23.7
52,la Prosperitat,2015,59.5
53,la Trinitat Nova,2015,56.0
