Assistents_fora_de_Barcelona,Edicio,Titularitat,DataInici,DataFi,Assistents_a_Barcelona,Notes_Dades,Espai,Ambit,NomDelFestival,Organitzador,_id,Any,Tipus,Assistents,Nota
,5,Titularitat privada,2023-12-09T00:00:00,2023-09-17T00:00:00,2089,,Fundació Joan Miró,Audiovisuals,Festival de Cinema jove de Barcelona u22,Assoc. Letto,115,2023,Festivals,,
,6,Titularitat privada,2023-09-16T00:00:00,2023-09-17T00:00:00,,,Diversos espais de la ciutat,Música,Festival de Fado,ALTO E BOM SOM,116,2023,Festivals,,
,6,Titularitat privada,2023-09-16T00:00:00,2023-08-10T00:00:00,,,Diversos espais de la ciutat,Multidisciplinaris i altres,Kronos Art BCN,Asoc. ANT cultura y arte 2018,117,2023,Festivals,,
,13,Titularitat privada,2023-09-17T00:00:00,2023-12-17T00:00:00,7100,,Diversos espais de la ciutat,Multidisciplinaris i altres,HOP Festival. Festival de Danses Urbanes,El Generador Art i Creació Cultural,118,2023,Festivals,,
1790,55,Titularitat privada,2023-09-18T00:00:00,2023-12-30T00:00:00,84213,,Diversos espais de la ciutat,Música,Festival de Jazz de Barcelona,The Project Music Company,119,2023,Festivals,,
,31,Ajuntament de Barcelona,2023-09-22T00:00:00,2023-09-25T00:00:00,75150,,Diversos espais de la ciutat,Música,BAM. Barcelona Acció Musical,Institut de Cultura. Ajuntament de Barcelona,120,2023,Festivals,,
,14,Ajuntament de Barcelona,2023-09-22T00:00:00,2023-09-25T00:00:00,108730,,Diversos espais de la ciutat,Arts escèniques,Mercè Arts de Carrer. MAC,Institut de Cultura. Ajuntament de Barcelona,121,2023,Festivals,,
,7,Titularitat privada,2023-09-26T00:00:00,2023-12-16T00:00:00,980,,Diversos espais de la ciutat,Arts escèniques,Africa Moment,Associació Africa Moment,122,2023,Festivals,,
108,3,Titularitat privada,2023-09-26T00:00:00,2023-01-10T00:00:00,1458,,Diversos espais de la ciutat,Audiovisuals,"Barq, Festival Internacional de Cine de Barcelona",Nihao Films,123,2023,Festivals,,
,,Titularitat privada,2023-09-26T00:00:00,2023-09-30T00:00:00,,,Diversos espais de la ciutat,Lletres,Séfer Festival del Libro Judío,Assoc. Plataforma Mozaika per a la Promoció de la Cultura Jueva de Catalunya,124,2023,Festivals,,
,8,Titularitat privada,2023-09-28T00:00:00,2023-10-21T00:00:00,300,,Lluïsos de Gràcia,Música,DescoNNecta. Mostra de Música Jove,Lluïsos de Gràcia,125,2023,Festivals,,
,,Titularitat privada,2023-09-29T00:00:00,2023-09-30T00:00:00,,,Parc del Fòrum,Música,Festival Cara - B,Assoc. Isla Elefante Projectes Culturals,126,2023,Festivals,,
,2,Consorci o fundació amb presència administracions públiques,2023-09-30T00:00:00,2023-01-10T00:00:00,1304,,Diversos espais de la muntanya de Collserola,Lletres,Liternatura. Festival de Literatura de Natura,Biblioteques de Barcelona,127,2023,Festivals,,
,11,Titularitat privada,2023-09-30T00:00:00,2023-09-30T00:00:00,7000,,Pla de Montbau,Música,ROCKPELSXUKLIS,AFANOC,128,2023,Festivals,,
2000,42,Titularitat privada,2023-01-10T00:00:00,2023-03-10T00:00:00,,,MNAC,Lletres,Liber,Fira de Barcelona i Fed. Gremis d'Editors de Espanya,129,2023,Fires,,
,3,Titularitat privada,2023-04-10T00:00:00,2023-07-10T00:00:00,2098,,Districte de Sant Andreu,Multidisciplinaris i altres,FAACCC (Festival de les Arts Comunitaries),Basket Beat,130,2023,Festivals,,
